0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:06 +0700] "GET /DemoSpringMVC/san-pham/1/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:06 +0700] "GET /DemoSpringMVC/san-pham/1/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:06 +0700] "GET /DemoSpringMVC/san-pham/1/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:10 +0700] "GET /DemoSpringMVC/san-pham/1/3 HTTP/1.1" 200 15055
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:10 +0700] "GET /DemoSpringMVC/san-pham/1/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:10 +0700] "GET /DemoSpringMVC/san-pham/1/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:10 +0700] "GET /DemoSpringMVC/san-pham/1/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:10 +0700] "GET /DemoSpringMVC/san-pham/1/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:10 +0700] "GET /DemoSpringMVC/san-pham/1/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:16 +0700] "GET /DemoSpringMVC/ HTTP/1.1" 200 28996
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:16 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:16 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:16 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:16 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:16 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:18 +0700] "GET /DemoSpringMVC/san-pham/2 HTTP/1.1" 200 9185
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:18 +0700] "GET /DemoSpringMVC/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:18 +0700] "GET /DemoSpringMVC/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:18 +0700] "GET /DemoSpringMVC/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:18 +0700] "GET /DemoSpringMVC/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:18 +0700] "GET /DemoSpringMVC/san-pham/assets/img/6.png HTTP/1.1" 404 682
